@relation Nomao

@attribute c2 numeric
@attribute c3 numeric
@attribute c4 numeric
@attribute c5 numeric
@attribute c6 numeric
@attribute c7 numeric
@attribute c8 {s,n}
@attribute c9 {s,n}
@attribute c10 numeric
@attribute c11 numeric
@attribute c12 numeric
@attribute c13 numeric
@attribute c14 numeric
@attribute c15 numeric
@attribute c16 {m,s,n}
@attribute c17 {m,s,n}
@attribute c18 numeric
@attribute c19 numeric
@attribute c20 numeric
@attribute c21 numeric
@attribute c22 numeric
@attribute c23 numeric
@attribute c24 {m,s,n}
@attribute c25 {m,s,n}
@attribute c26 numeric
@attribute c27 numeric
@attribute c28 numeric
@attribute c29 numeric
@attribute c30 numeric
@attribute c31 numeric
@attribute c32 {m,s,n}
@attribute c33 {m,s,n}
@attribute c34 numeric
@attribute c35 numeric
@attribute c36 numeric
@attribute c37 numeric
@attribute c38 numeric
@attribute c39 numeric
@attribute c40 {m,s,n}
@attribute c41 {m,s,n}
@attribute c42 numeric
@attribute c43 numeric
@attribute c44 numeric
@attribute c45 numeric
@attribute c46 numeric
@attribute c47 numeric
@attribute c48 {m,s,n}
@attribute c49 {m,s,n}
@attribute c50 numeric
@attribute c51 numeric
@attribute c52 numeric
@attribute c53 numeric
@attribute c54 numeric
@attribute c55 numeric
@attribute c56 {s,m,n}
@attribute c57 {s,m,n}
@attribute c58 numeric
@attribute c59 numeric
@attribute c60 numeric
@attribute c61 numeric
@attribute c62 numeric
@attribute c63 numeric
@attribute c64 {n,s,m}
@attribute c65 {n,s,m}
@attribute c66 numeric
@attribute c67 numeric
@attribute c68 numeric
@attribute c69 numeric
@attribute c70 numeric
@attribute c71 numeric
@attribute c72 {s,n,m}
@attribute c73 {s,n,m}
@attribute c74 numeric
@attribute c75 numeric
@attribute c76 numeric
@attribute c77 numeric
@attribute c78 numeric
@attribute c79 numeric
@attribute c80 {s,n,m}
@attribute c81 {s,n,m}
@attribute c82 numeric
@attribute c83 numeric
@attribute c84 numeric
@attribute c85 numeric
@attribute c86 numeric
@attribute c87 numeric
@attribute c88 {s,m,n}
@attribute c89 {s,m,n}
@attribute c90 numeric
@attribute c91 numeric
@attribute c92 numeric
@attribute c93 {m,n,s}
@attribute c94 numeric
@attribute c95 numeric
@attribute c96 numeric
@attribute c97 {m,s,n}
@attribute c98 numeric
@attribute c99 numeric
@attribute c100 numeric
@attribute c101 {s,n,m}
@attribute c102 numeric
@attribute c103 numeric
@attribute c104 numeric
@attribute c105 {s,n,m}
@attribute c106 numeric
@attribute c107 numeric
@attribute c108 numeric
@attribute c109 {s,n,m}
@attribute c110 numeric
@attribute c111 numeric
@attribute c112 numeric
@attribute c113 {n,m,s}
@attribute c114 numeric
@attribute c115 numeric
@attribute c116 numeric
@attribute c117 {n,m,s}
@attribute c118 numeric
@attribute c119 numeric
@attribute class {1,-1}

@data
1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.714286,0.714286,0.870748,0.825397,0.842105,0.731707,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,0.999754,0.444444,0.25,n,0.999979,0.7,0.466667,n,?,?,?,m,?,?,?,m,1,?,1
0,0,0.32,0.116364,0.357143,0.090909,n,n,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,0,0,0.193333,0,0.25,0,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.142857,0.125,0.315556,0.161616,0.283019,0.101266,n,n,1,0.285714,0.444444,0.444444,0.285714,0.309524,s,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0,0.363636,0.117647,n,?,?,?,m,0.058824,0.5,0.285714,n,0.995471,0.555556,0.25,n,0.981315,0.4,0.235294,n,?,?,?,m,?,?,?,m,0.999617,?,-1
0,0,0.057143,0,0.04,0,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,1,1,1,s,1,1,1,s,0.98541,0.266667,0.111111,n,0.983694,0.384615,0.166667,n,1,0.999506,-1
1,0.333333,0.5,0.5,0.368421,0.4,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.666667,0.666667,0.843254,0.722222,0.516129,0.621622,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,1,1,1,s,1,1,1,s,0.999698,0.5,0.333333,n,0.999921,0.777778,0.5,n,1,1,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.833333,0.909091,0.909091,0.833333,0.833333,s,n,0.6,0.375,0.630769,0.512821,0.666667,0.510204,n,n,0,0,0.8,0.333333,0.8,0.333333,n,n,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,0.971554,0.444444,0.176471,n,0.986389,0.5,0.222222,n,1,1,1,s,1,1,1,s,0.998953,1,1
0.666667,0.5,0.653061,0.571429,0.6,0.419355,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,0.666667,0.8,0.8,0.625,0.65625,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,0,0,0.2,0,0.133333,0,n,n,1,1,1,1,1,1,s,s,1,0.833333,0.909091,0.909091,0.4,0.644444,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.833333,0.833333,0.833333,0.833333,0.69697,0.675,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,0.999995,0.777778,0.538462,n,0.999999,0.9,0.571429,n,?,?,?,m,?,?,?,m,1,?,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.857143,0.923077,0.923077,0.825,0.820513,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,0.999997,0.875,0.7,n,0.999991,0.777778,0.636364,n,1,1,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.8,0.444444,0.595238,0.571429,0.52,0.530612,n,n,0.857143,0.857143,0.857143,0.857143,0.975,0.928571,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,?,?,?,n,0.999586,0.666667,0.333333,n,0.999929,0.6,0.4,n,?,?,?,m,?,?,?,m,1,?,1
0,0,0.216667,0.030303,0.130435,0.025641,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.25,0.2,0.384259,0.277778,0.333333,0.151515,n,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.571429,0.5,0.630556,0.566667,0.652174,0.509434,n,n,0.571429,0.5,0.630556,0.566667,0.652174,0.509434,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,0.037037,0.5,0.285714,n,0.997581,0.555556,0.25,n,0.999361,0.7,0.4,n,0.99767,0.5,0.285714,n,0.99937,0.777778,0.428571,n,0.999994,0.999994,-1
0,0,0.155754,0.041667,0.2,0.029412,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.545455,0.705882,0.705882,0.448276,0.490909,s,n,1,0.555556,0.714286,0.714286,0.470588,0.510204,s,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,m,0.999335,0.555556,0.357143,n,0.99812,0.555556,0.333333,n,?,?,?,m,?,?,?,m,0.999996,?,-1
1,0.75,0.857143,0.857143,0.833333,0.833333,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.857143,0.923077,0.923077,0.863636,0.863636,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
0.666667,0.5,0.684807,0.571429,0.516129,0.411765,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.8,0.571429,0.8125,0.772222,0.575,0.714286,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
1,0.25,0.4,0.4,0.16129,0.2,s,n,1,0.5,0.666667,0.666667,0.454545,0.5,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,0.5,0.666667,0.666667,0.454545,0.5,s,n,0.5,0.125,0.318182,0.230882,0.214286,0.166667,n,n,1,0.25,0.4,0.4,0.333333,0.377778,s,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,0.995375,0.333333,0.1875,n,0.993346,0.555556,0.266667,n,0.999461,0.666667,0.357143,n,0.997905,0.5,0.235294,n,0.999934,0.999995,-1
1,0.666667,0.8,0.8,0.684211,0.684211,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.625,0.769231,0.769231,0.609756,0.615385,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,0.999963,0.666667,0.428571,n,0.999988,0.7,0.466667,n,?,?,?,m,?,?,?,m,1,?,1
0,0,0,0,0,0,n,n,1,1,1,1,1,1,s,s,0,0,0.8,0.333333,0.8,0.333333,n,n,0.75,0.75,0.75,0.75,0.913043,0.777778,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.714286,0.714286,0.857143,0.761905,0.921053,0.733333,n,n,0.857143,0.857143,0.857143,0.857143,0.952381,0.869565,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,0.071429,0.5,0.25,n,0.999825,0.555556,0.333333,n,0.999866,0.7,0.4,n,0.99984,0.666667,0.357143,n,0.99986,0.7,0.375,n,1,1,-1
1,0.5,0.666667,0.666667,0.7,0.727273,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.857143,0.923077,0.923077,0.863636,0.866667,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,0.994131,0.555556,0.266667,n,0.999635,0.5,0.3125,n,1,0.999965,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
1,0.666667,0.8,0.8,0.75,0.8,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,0.8,0.888889,0.888889,0.807692,0.846154,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,0.999444,0.4,0.277778,n,0.999161,0.461538,0.1875,n,1,0.999999,1
0.666667,0.4,0.589286,0.5,0.27027,0.404762,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.5,0.125,0.329167,0.2,0.119048,0.125,n,n,1,0.222222,0.363636,0.363636,0.244898,0.270833,s,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,0.958933,0.555556,0.1875,n,0.984125,0.4,0.235294,n,?,?,?,m,?,?,?,m,0.99791,?,1
0,0,0.225,0.020408,0.210526,0.027027,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.5,0.2,0.285714,0.285714,0.272727,0.230769,n,n,1,0.5,0.666667,0.666667,0.538462,0.564103,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,?,?,?,n,0.994659,0.555556,0.266667,n,0.999936,0.6,0.375,n,0.991823,0.375,0.2,n,0.9996,0.888889,0.538462,n,0.999971,0.999932,1
1,0.75,0.857143,0.857143,0.477273,0.704545,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.8,0.888889,0.888889,0.758621,0.793103,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,1,1,1,s,?,?,?,n,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
0.666667,0.571429,0.710256,0.628205,0.418605,0.411765,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.833333,0.714286,0.846154,0.8,0.806452,0.757576,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
0,0,0.2,0.111111,0,0.133333,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.8,0.5,0.717949,0.666667,0.641026,0.595238,n,n,0.875,0.875,0.958333,0.916667,0.974359,0.904762,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.000093,0.545455,0.333333,n,?,?,?,m,0.125,0.8,0.5,n,0.99998,0.777778,0.428571,n,0.999884,0.6,0.333333,n,0.02272,0.3,0.055556,n,0.02272,0.111111,0.055556,n,1,0.00027,-1
0,0,0.111111,0,0.15625,0,n,n,1,0.5,0.666667,0.666667,0.705882,0.722222,s,n,1,1,1,1,1,1,s,s,0,0,0.125,0,0.2,0,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.4,0.4,0.504545,0.411765,0.486486,0.372549,n,n,0.6,0.6,0.65,0.6,0.8,0.625,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,0.998973,0.333333,0.111111,n,0.99919,0.6,0.25,n,?,?,?,m,?,?,?,m,0.999998,?,-1
0,0,0.142857,0,0.083333,0,n,n,1,1,1,1,1,1,s,s,0,0,0.8,0.333333,0.8,0.333333,n,n,0,0,0.208617,0.048701,0.2,0.026316,n,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.333333,0.285714,0.573871,0.385198,0.533333,0.295082,n,n,0.333333,0.285714,0.573871,0.385198,0.533333,0.295082,n,n,0,0,0.8,0.333333,0.8,0.333333,n,n,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,0.25,0.5,0.25,n,0.986219,0.5,0.1875,n,0.990558,0.4,0.235294,n,0.985403,0.444444,0.2,n,0.990242,0.555556,0.25,n,0.999714,0.999684,-1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.75,0.6,0.666667,0.666667,0.444444,0.352941,n,n,1,0.333333,0.5,0.5,0.4,0.419355,s,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,0.956626,0.333333,0.176471,n,0.995922,0.5,0.235294,n,?,?,?,m,?,?,?,m,0.997932,?,1
0.666667,0.4,0.55,0.5,0.30303,0.4,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.857143,0.923077,0.923077,0.918919,0.921053,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,1,1,1,s,1,1,1,s,1,1,1
1,0.8,0.888889,0.888889,0.777778,0.785714,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.833333,0.833333,0.833333,0.833333,0.677419,0.657895,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,0.999986,0.5,0.285714,n,0.99994,0.7,0.375,n,?,?,?,m,?,?,?,m,1,?,1
0.5,0.5,0.695312,0.609722,0.756757,0.619048,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.5,0.333333,0.522917,0.4,0.455882,0.410256,n,n,1,0.333333,0.5,0.5,0.369565,0.391304,s,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,0.090909,0.75,0.25,n,0.987248,0.444444,0.176471,n,0.989603,0.4,0.157895,n,0.999573,0.625,0.384615,n,0.998756,0.555556,0.333333,n,0.999723,0.999998,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.857143,0.75,0.853333,0.838095,0.87234,0.833333,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,0.99997,0.555556,0.333333,n,0.999994,0.8,0.583333,n,?,?,?,m,?,?,?,m,1,?,1
1,0.6,0.75,0.75,0.571429,0.689655,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.6,0.5,0.715618,0.665152,0.522727,0.673913,n,n,1,0.833333,0.909091,0.909091,0.860465,0.853659,s,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,0.99999,0.777778,0.428571,n,0.99998,0.7,0.375,n,?,?,?,m,?,?,?,m,1,?,1
0.333333,0.333333,0.380952,0.333333,0.434783,0.235294,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.75,0.6,0.878788,0.793651,0.92,0.92,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.714286,0.625,0.838384,0.77619,0.863636,0.829787,n,n,1,0.875,0.933333,0.933333,0.956522,0.956522,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.001776,0.636364,0.4375,n,?,?,?,m,?,?,?,n,0.99485,0.333333,0.176471,n,0.999275,0.5,0.25,n,?,?,?,m,?,?,?,m,0.999973,?,-1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.833333,0.909091,0.909091,0.551724,0.9,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,0.999094,0.466667,0.210526,n,0.999029,0.583333,0.285714,n,1,0.999998,1
1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.714286,0.714286,0.870748,0.825397,0.846154,0.744186,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,0.999892,0.555556,0.25,n,0.9996,0.8,0.375,n,?,?,?,m,?,?,?,m,1,?,1
0.2,0.142857,0.516005,0.389322,0.36,0.237288,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.8,0.444444,0.685714,0.653061,0.52,0.48,n,n,0.888889,0.888889,0.988889,0.972222,0.980769,0.96,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,0.996981,0.625,0.285714,n,0.999842,0.555556,0.333333,n,1,0.999991,1
0.5,0.25,0.333333,0.333333,0.571429,0.384615,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.857143,0.923077,0.923077,0.896552,0.896552,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
1,0.666667,0.8,0.8,0.625,0.625,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0,0,0.537415,0.238095,0.423077,0.37931,n,n,1,0.333333,0.5,0.5,0.387097,0.40625,s,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,0.998595,0.444444,0.25,n,0.988536,0.6,0.235294,n,?,?,?,m,?,?,?,m,0.999864,?,1
1,1,1,1,1,1,s,s,1,0.5,0.666667,0.666667,0.5,0.545455,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.833333,0.714286,0.907692,0.857143,0.837838,0.815789,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.000168,0.636364,0.411765,n,?,?,?,m,1,1,1,s,0.999868,0.555556,0.333333,n,0.999965,0.7,0.466667,n,0.999834,0.625,0.384615,n,0.999925,0.444444,0.25,n,1,1,1
1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.857143,0.857143,0.904762,0.892857,0.909091,0.866667,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.25,0.909091,0.714286,n,?,?,?,m,1,1,1,s,0.999756,0.444444,0.25,n,0.999881,0.7,0.375,n,?,?,?,m,?,?,?,m,1,?,1
1,0.5,0.666667,0.666667,0.37931,0.428571,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.8,0.571429,0.8,0.722222,0.76087,0.659574,n,n,0.833333,0.833333,0.966667,0.888889,0.976744,0.863636,n,n,0,0,0.8,0.333333,0.8,0.333333,n,n,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,0.999991,0.75,0.5,n,0.999981,0.666667,0.428571,n,1,1,1
